dish_name,dish_type,ingredients,dosha_suitable_for,avoids_for,taste_profile,effect,season
Herbal Sprouts Bowl,Dinner,"coconut, beans, millet, spinach, pumpkin","Kapha, Pitta",Vata,"Salty, Sweet",stabilizing,Monsoon
Herbal Soup,Dinner,"ginger, ragi, cabbage, toor dal, carrot","Kapha, Vata",Pitta,"Pungent, Salty",warming,All
Mixed Veg Stuffed Paratha,Snack,"masoor dal, coconut, millet, spinach, ghee",Pitta,"Kapha, Vata","Astringent, Sweet",cooling,All
Traditional Cutlet,Dinner,"garlic, millet, coconut, oats, cauliflower",Pitta,"Kapha, Vata","Pungent, Sweet",stabilizing,Summer
Ginger Upma,Breakfast,"peas, carrot, toor dal, tomato, beetroot","Pitta, Vata",Kapha,"Bitter, Pungent",grounding,All
Spicy Kadhi,Lunch,"ragi, oats, masoor dal, onion, wheat","Kapha, Pitta, Vata",,"Astringent, Salty",grounding,Monsoon
Ginger Pulao,Snack,"garlic, masoor dal, beetroot, sweet potato, ginger","Kapha, Pitta, Vata",,"Sour, Salty",grounding,Winter
Homestyle Sprouts Bowl,Lunch,"peas, capsicum, ghee, millet, garlic","Kapha, Pitta, Vata",,"Sweet, Pungent",stabilizing,Summer
Mild Tikki,Breakfast,"cauliflower, toor dal, spinach, pumpkin, millet","Pitta, Vata",Kapha,"Bitter, Pungent",cooling,All
Traditional Stuffed Paratha,Snack,"ginger, broccoli, millet, carrot, spinach","Kapha, Vata",Pitta,"Astringent, Sweet",stabilizing,All
Garlic Kadhi,Lunch,"masoor dal, pumpkin, wheat, ginger, beans","Kapha, Pitta, Vata",,"Salty, Astringent",cooling,Summer
Light Upma,Lunch,"coconut, cauliflower, peas, carrot, spinach",Kapha,"Pitta, Vata","Pungent, Sweet",energizing,All
Ginger Sabzi,Dinner,"wheat, beetroot, broccoli, spinach, oats","Kapha, Pitta",Vata,"Pungent, Sweet",grounding,All
Fresh Sprouts Bowl,Snack,"capsicum, garlic, sweet potato, toor dal, cauliflower","Kapha, Pitta, Vata",,"Sweet, Sour",stabilizing,All
Ginger Veg Gravy,Lunch,"beans, ginger, millet, carrot, lentils","Kapha, Pitta, Vata",,"Pungent, Astringent",stabilizing,All
Classic Vegetable Curry,Dinner,"beans, sweet potato, moong dal, peas, tomato","Pitta, Vata",Kapha,"Astringent, Sweet",cooling,All
Masala Rasam,Dinner,"moong dal, lentils, ginger, paneer, ghee",Pitta,"Kapha, Vata","Bitter, Pungent",energizing,Monsoon
Lemon Poha,Dinner,"lentils, garlic, cauliflower, broccoli, coconut",Vata,"Kapha, Pitta","Salty, Sour",warming,Monsoon
Warming Pasta,Breakfast,"cabbage, wheat, coconut, carrot, millet","Kapha, Vata",Pitta,"Salty, Pungent",light,Winter
Warming Curry Bowl,Dinner,"onion, toor dal, garlic, lentils, peas","Pitta, Vata",Kapha,"Bitter, Sweet",grounding,Monsoon
Homestyle Lentil Soup,Snack,"toor dal, cauliflower, spinach, cabbage, onion",Kapha,"Pitta, Vata","Astringent, Bitter",cooling,Summer
Masala Veg Stir Fry,Snack,"rice, pumpkin, onion, ragi, cabbage","Kapha, Pitta, Vata",,"Astringent, Sour",stabilizing,Winter
Homestyle Veg Gravy,Breakfast,"oats, wheat, moong dal, garlic, cauliflower","Kapha, Pitta, Vata",,"Sour, Sweet",light,All
Coconut Stew,Lunch,"paneer, beans, peas, cabbage, carrot",Vata,"Kapha, Pitta","Sour, Salty",warming,Monsoon
Traditional Pasta,Snack,"masoor dal, ragi, sweet potato, ginger, oats",Pitta,"Kapha, Vata","Salty, Bitter",grounding,All
Light Kofta,Snack,"potato, ginger, millet, ghee, oats",Pitta,"Kapha, Vata","Bitter, Sour",stabilizing,All
Spicy Khichdi,Lunch,"moong dal, spinach, toor dal, coconut, garlic","Pitta, Vata",Kapha,"Sweet, Salty",light,Summer
Protein-Rich Paneer Curry,Breakfast,"oats, capsicum, masoor dal, paneer, ginger","Kapha, Vata",Pitta,"Astringent, Sweet",grounding,Monsoon
Classic Roti Sabzi,Lunch,"potato, paneer, cabbage, spinach, rice",Kapha,"Pitta, Vata","Astringent, Salty",energizing,Summer
Mint Paratha,Lunch,"capsicum, ghee, peas, lentils, potato","Kapha, Pitta",Vata,"Pungent, Sour",energizing,Winter
Green Kadhi,Breakfast,"lentils, garlic, coconut, rice, wheat","Kapha, Pitta",Vata,"Astringent, Bitter",energizing,All
Garlic Rice Bowl,Snack,"pumpkin, cauliflower, garlic, lentils, carrot","Kapha, Vata",Pitta,"Sour, Salty",warming,Summer
Homestyle Dosa,Lunch,"ginger, potato, millet, cauliflower, carrot","Pitta, Vata",Kapha,"Bitter, Pungent",energizing,Monsoon
Garlic Dal,Breakfast,"paneer, beans, coconut, toor dal, potato","Kapha, Pitta, Vata",,"Sweet, Salty",cooling,Winter
Mild Roti Sabzi,Dinner,"wheat, coconut, spinach, broccoli, tomato","Pitta, Vata",Kapha,"Salty, Sour",grounding,All
Light Salad,Lunch,"rice, ginger, moong dal, beans, capsicum","Kapha, Pitta, Vata",,"Bitter, Astringent",cooling,Winter
Spicy Vegetable Curry,Snack,"rice, pumpkin, carrot, toor dal, moong dal","Kapha, Pitta, Vata",,"Bitter, Sweet",warming,Winter
Mild Porridge,Lunch,"oats, peas, paneer, lentils, broccoli","Kapha, Vata",Pitta,"Sweet, Salty",warming,Summer
Fresh Biryani,Dinner,"cabbage, ragi, tomato, potato, cauliflower","Kapha, Pitta",Vata,"Sweet, Pungent",energizing,Monsoon
Coconut Wrap,Lunch,"ghee, garlic, moong dal, peas, sweet potato","Pitta, Vata",Kapha,"Salty, Bitter",light,Winter
Protein-Rich Stuffed Paratha,Lunch,"rice, moong dal, carrot, ghee, sweet potato","Kapha, Pitta, Vata",,"Bitter, Salty",cooling,Summer
Ginger Thali,Breakfast,"millet, potato, onion, garlic, wheat","Kapha, Pitta",Vata,"Astringent, Sweet",cooling,All
Protein-Rich Soup,Breakfast,"carrot, rice, broccoli, garlic, ghee",Kapha,"Pitta, Vata","Pungent, Sour",grounding,Winter
Fresh Chutney,Snack,"beans, oats, sweet potato, tomato, potato",Kapha,"Pitta, Vata","Astringent, Sour",cooling,Winter
Herbal Porridge,Dinner,"cauliflower, onion, ginger, beetroot, toor dal","Kapha, Vata",Pitta,"Sweet, Salty",light,Monsoon
Cooling Stew,Breakfast,"rice, ragi, cabbage, potato, cauliflower",Vata,"Kapha, Pitta","Pungent, Astringent",warming,Monsoon
Warming Tikki,Dinner,"wheat, onion, sweet potato, beans, masoor dal","Kapha, Pitta, Vata",,"Pungent, Salty",stabilizing,Monsoon
Lemon Sambar,Dinner,"beans, garlic, moong dal, millet, onion","Kapha, Pitta, Vata",,"Pungent, Sour",cooling,Winter
Ginger Paratha,Lunch,"broccoli, toor dal, sweet potato, coconut, beetroot","Kapha, Pitta, Vata",,"Sweet, Sour",light,Monsoon
Fresh Roll,Dinner,"onion, masoor dal, millet, moong dal, paneer",Kapha,"Pitta, Vata","Astringent, Bitter",light,Winter
Garlic Soup,Dinner,"potato, moong dal, paneer, cabbage, millet","Kapha, Pitta, Vata",,"Astringent, Sweet",energizing,Monsoon
Cooling Kadhi,Snack,"cabbage, ghee, paneer, carrot, ragi","Pitta, Vata",Kapha,"Sweet, Astringent",warming,Winter
Mild Rice Bowl,Breakfast,"rice, tomato, capsicum, wheat, lentils",Pitta,"Kapha, Vata","Pungent, Salty",warming,Monsoon
Mint Stuffed Paratha,Snack,"cauliflower, rice, garlic, wheat, masoor dal","Pitta, Vata",Kapha,"Sour, Salty",grounding,Winter
Homestyle Vegetable Curry,Dinner,"coconut, peas, ragi, carrot, masoor dal",Kapha,"Pitta, Vata","Bitter, Sour",grounding,All
Classic Cutlet,Dinner,"millet, cauliflower, wheat, cabbage, carrot",Kapha,"Pitta, Vata","Astringent, Bitter",energizing,Monsoon
Protein-Rich Sabzi,Lunch,"rice, capsicum, ragi, cauliflower, garlic","Kapha, Pitta, Vata",,"Salty, Astringent",stabilizing,Monsoon
Homestyle Sambar,Snack,"ghee, moong dal, carrot, tomato, ragi","Kapha, Pitta, Vata",,"Salty, Astringent",grounding,All
Light Roti Sabzi,Breakfast,"capsicum, beetroot, toor dal, wheat, sweet potato","Pitta, Vata",Kapha,"Astringent, Pungent",warming,Summer
Warming Kadhi,Dinner,"ragi, cabbage, millet, potato, rice","Pitta, Vata",Kapha,"Sour, Pungent",grounding,Summer
Garlic Curry Bowl,Lunch,"capsicum, ghee, wheat, masoor dal, peas",Vata,"Kapha, Pitta","Salty, Pungent",stabilizing,Winter
Green Roti Sabzi,Lunch,"sweet potato, cauliflower, paneer, cabbage, moong dal","Kapha, Pitta",Vata,"Pungent, Sweet",energizing,All
Mild Veg Stir Fry,Snack,"carrot, cauliflower, pumpkin, wheat, coconut","Kapha, Pitta, Vata",,"Salty, Astringent",cooling,Monsoon
Green Rice Bowl,Lunch,"paneer, ginger, beetroot, broccoli, tomato","Kapha, Pitta, Vata",,"Astringent, Bitter",warming,Summer
Classic Stew,Dinner,"broccoli, sweet potato, millet, toor dal, moong dal","Pitta, Vata",Kapha,"Salty, Astringent",stabilizing,All
Mixed Veg Roll,Snack,"garlic, sweet potato, cabbage, carrot, toor dal","Kapha, Vata",Pitta,"Sweet, Pungent",light,All
Homestyle Sandwich,Breakfast,"coconut, beetroot, ginger, ragi, ghee","Kapha, Pitta, Vata",,"Bitter, Astringent",cooling,All
Ginger Poha,Breakfast,"beetroot, lentils, peas, ginger, onion","Kapha, Vata",Pitta,"Salty, Bitter",light,Monsoon
Spicy Curry Bowl,Lunch,"paneer, masoor dal, capsicum, ragi, beetroot","Kapha, Pitta, Vata",,"Astringent, Bitter",grounding,All
Mild Paratha,Breakfast,"tomato, onion, beans, paneer, capsicum",Kapha,"Pitta, Vata","Pungent, Bitter",grounding,Winter
Classic Stuffed Paratha,Dinner,"potato, capsicum, beetroot, carrot, pumpkin","Pitta, Vata",Kapha,"Sour, Astringent",warming,Summer
Ginger Sprouts Bowl,Snack,"cabbage, carrot, cauliflower, tomato, coconut",Kapha,"Pitta, Vata","Bitter, Astringent",energizing,Monsoon
Light Paratha,Breakfast,"cauliflower, pumpkin, oats, spinach, broccoli",Vata,"Kapha, Pitta","Bitter, Sweet",cooling,Summer
Warming Salad,Breakfast,"ginger, broccoli, onion, paneer, millet","Kapha, Pitta, Vata",,"Salty, Bitter",warming,Summer
Classic Poha,Snack,"masoor dal, cauliflower, broccoli, beetroot, peas","Kapha, Vata",Pitta,"Sour, Sweet",stabilizing,Monsoon
Traditional Dal,Breakfast,"cabbage, oats, garlic, ragi, pumpkin",Vata,"Kapha, Pitta","Sour, Sweet",cooling,Winter
Cooling Lentil Soup,Lunch,"sweet potato, potato, rice, carrot, masoor dal","Pitta, Vata",Kapha,"Pungent, Sour",warming,Monsoon
Protein-Rich Sambar,Dinner,"oats, toor dal, capsicum, ragi, coconut",Vata,"Kapha, Pitta","Sour, Bitter",warming,Monsoon
Fresh Vegetable Curry,Lunch,"spinach, millet, wheat, pumpkin, toor dal","Kapha, Vata",Pitta,"Salty, Astringent",light,Winter
Warming Porridge,Snack,"onion, rice, peas, cabbage, ginger",Kapha,"Pitta, Vata","Salty, Astringent",warming,All
Ayurvedic Snack Mix,Snack,"capsicum, onion, beetroot, masoor dal, potato",Vata,"Kapha, Pitta","Astringent, Salty",cooling,Monsoon
Cooling Biryani,Snack,"rice, beans, garlic, toor dal, coconut","Kapha, Pitta, Vata",,"Salty, Sweet",grounding,Summer
Traditional Idli,Breakfast,"lentils, millet, oats, garlic, carrot","Pitta, Vata",Kapha,"Sweet, Astringent",stabilizing,Summer
Garlic Tikki,Breakfast,"wheat, moong dal, ragi, spinach, ghee",Kapha,"Pitta, Vata","Salty, Sour",cooling,All
Classic Idli,Lunch,"spinach, ragi, carrot, millet, toor dal",Pitta,"Kapha, Vata","Salty, Sweet",energizing,Monsoon
Masala Rice Bowl,Snack,"onion, coconut, peas, rice, spinach","Kapha, Pitta, Vata",,"Astringent, Pungent",cooling,Winter
Lemon Wrap,Breakfast,"cauliflower, pumpkin, onion, beetroot, sweet potato",Kapha,"Pitta, Vata","Sour, Astringent",cooling,All
Protein-Rich Vegetable Curry,Dinner,"broccoli, beetroot, masoor dal, tomato, capsicum",Pitta,"Kapha, Vata","Pungent, Bitter",warming,All
Ayurvedic Stew,Lunch,"masoor dal, oats, lentils, potato, paneer","Kapha, Vata",Pitta,"Salty, Pungent",grounding,Monsoon
Seasonal Paratha,Dinner,"ghee, onion, spinach, rice, ginger","Kapha, Pitta, Vata",,"Salty, Bitter",light,Summer
Coconut Veg Gravy,Lunch,"masoor dal, sweet potato, rice, paneer, cabbage",Vata,"Kapha, Pitta","Sour, Astringent",warming,Monsoon
Green Stir Fry,Snack,"broccoli, masoor dal, spinach, lentils, ginger",Pitta,"Kapha, Vata","Pungent, Bitter",energizing,Monsoon
Lemon Chutney,Lunch,"cabbage, beetroot, broccoli, spinach, lentils","Kapha, Pitta, Vata",,"Sweet, Astringent",grounding,Summer
Light Vegetable Curry,Snack,"masoor dal, sweet potato, beetroot, oats, spinach","Pitta, Vata",Kapha,"Bitter, Sweet",grounding,Summer
Seasonal Stew,Breakfast,"potato, masoor dal, peas, pumpkin, paneer","Kapha, Vata",Pitta,"Bitter, Salty",light,Winter
Lemon Paneer Curry,Breakfast,"paneer, garlic, lentils, capsicum, ginger","Kapha, Pitta, Vata",,"Sour, Pungent",energizing,Winter
Masala Dal,Dinner,"peas, cabbage, spinach, capsicum, broccoli",Vata,"Kapha, Pitta","Bitter, Sour",stabilizing,Summer
Mild Upma,Breakfast,"peas, broccoli, masoor dal, millet, paneer","Kapha, Pitta, Vata",,"Bitter, Sour",warming,Summer
Green Stew,Snack,"pumpkin, onion, coconut, sweet potato, masoor dal","Pitta, Vata",Kapha,"Bitter, Pungent",energizing,Monsoon
Coconut Salad,Breakfast,"peas, coconut, ghee, onion, moong dal","Kapha, Pitta",Vata,"Astringent, Sour",cooling,Summer
Light Paneer Curry,Dinner,"beans, carrot, sweet potato, spinach, paneer","Kapha, Pitta",Vata,"Astringent, Salty",warming,Winter
Masala Cutlet,Breakfast,"beetroot, ginger, moong dal, coconut, carrot",Pitta,"Kapha, Vata","Astringent, Pungent",cooling,All
Spicy Cutlet,Dinner,"lentils, toor dal, carrot, broccoli, cauliflower","Kapha, Vata",Pitta,"Sweet, Pungent",stabilizing,Monsoon
Mint Sandwich,Breakfast,"ginger, broccoli, onion, capsicum, toor dal","Kapha, Pitta, Vata",,"Bitter, Astringent",light,Winter
Coconut Thali,Lunch,"beetroot, pumpkin, paneer, tomato, rice","Kapha, Pitta",Vata,"Astringent, Sour",warming,Summer
Homestyle Idli,Lunch,"coconut, broccoli, moong dal, oats, masoor dal",Kapha,"Pitta, Vata","Pungent, Bitter",warming,Summer
Ayurvedic Porridge,Lunch,"beetroot, paneer, carrot, onion, millet","Pitta, Vata",Kapha,"Salty, Sweet",light,Summer
Mixed Veg Curry Bowl,Snack,"ginger, wheat, cauliflower, potato, sweet potato","Kapha, Pitta",Vata,"Astringent, Salty",stabilizing,Monsoon
Seasonal Sprouts Bowl,Snack,"tomato, ginger, potato, paneer, toor dal","Kapha, Vata",Pitta,"Salty, Sour",stabilizing,Summer
Classic Sabzi,Breakfast,"toor dal, coconut, cabbage, ragi, tomato","Pitta, Vata",Kapha,"Salty, Sour",energizing,Winter
Lemon Stuffed Paratha,Lunch,"beetroot, ginger, capsicum, coconut, cabbage","Kapha, Pitta, Vata",,"Sour, Pungent",grounding,All
Lemon Porridge,Lunch,"peas, beans, cauliflower, garlic, rice","Pitta, Vata",Kapha,"Pungent, Astringent",warming,Winter
Spicy Salad,Lunch,"potato, pumpkin, millet, coconut, paneer","Kapha, Pitta, Vata",,"Sweet, Sour",grounding,All
Coconut Snack Mix,Breakfast,"masoor dal, sweet potato, broccoli, lentils, pumpkin","Kapha, Vata",Pitta,"Pungent, Bitter",energizing,Summer
Coconut Paneer Curry,Snack,"rice, masoor dal, cabbage, moong dal, peas",Pitta,"Kapha, Vata","Bitter, Sour",grounding,Winter
Coconut Stuffed Paratha,Snack,"rice, onion, sweet potato, oats, tomato","Kapha, Pitta, Vata",,"Bitter, Pungent",energizing,Winter
Mint Paneer Curry,Lunch,"rice, moong dal, broccoli, garlic, ragi",Pitta,"Kapha, Vata","Sweet, Bitter",energizing,Monsoon
Mixed Veg Biryani,Breakfast,"oats, sweet potato, capsicum, wheat, masoor dal","Kapha, Pitta, Vata",,"Salty, Sweet",stabilizing,All
Herbal Poha,Breakfast,"broccoli, ragi, peas, spinach, beetroot","Kapha, Pitta",Vata,"Bitter, Sour",energizing,Winter
Fresh Sabzi,Lunch,"tomato, pumpkin, wheat, onion, potato","Kapha, Pitta, Vata",,"Astringent, Bitter",energizing,Monsoon
Seasonal Pulao,Snack,"beetroot, paneer, peas, cabbage, pumpkin","Kapha, Vata",Pitta,"Astringent, Bitter",energizing,Monsoon
Ayurvedic Veg Stir Fry,Snack,"capsicum, beetroot, tomato, oats, cauliflower","Kapha, Pitta, Vata",,"Pungent, Salty",energizing,Summer
Mild Vegetable Curry,Dinner,"wheat, toor dal, tomato, garlic, lentils",Pitta,"Kapha, Vata","Astringent, Sour",grounding,Summer
Mixed Veg Rasam,Lunch,"onion, lentils, tomato, toor dal, coconut",Vata,"Kapha, Pitta","Bitter, Salty",warming,Monsoon
Light Porridge,Dinner,"tomato, cauliflower, broccoli, sweet potato, pumpkin",Vata,"Kapha, Pitta","Bitter, Astringent",energizing,Winter
Fresh Khichdi,Snack,"carrot, beetroot, sweet potato, toor dal, pumpkin",Vata,"Kapha, Pitta","Sour, Sweet",grounding,Winter
Mild Lentil Soup,Lunch,"spinach, beans, ragi, oats, paneer",Pitta,"Kapha, Vata","Astringent, Salty",warming,All
Spicy Porridge,Snack,"millet, broccoli, beetroot, onion, oats","Kapha, Pitta, Vata",,"Sour, Pungent",stabilizing,Summer
Masala Dosa,Breakfast,"ghee, cauliflower, capsicum, rice, carrot","Kapha, Pitta",Vata,"Sweet, Pungent",grounding,All
Green Kofta,Lunch,"millet, capsicum, beetroot, wheat, cauliflower","Pitta, Vata",Kapha,"Salty, Astringent",cooling,Winter
Mint Lentil Soup,Snack,"toor dal, wheat, beans, carrot, millet",Kapha,"Pitta, Vata","Pungent, Salty",energizing,All
Light Wrap,Lunch,"beans, spinach, peas, tomato, oats","Kapha, Pitta, Vata",,"Astringent, Bitter",grounding,All
Warming Thali,Dinner,"toor dal, rice, cauliflower, ginger, moong dal",Kapha,"Pitta, Vata","Astringent, Pungent",energizing,Monsoon
Lemon Sabzi,Lunch,"capsicum, onion, moong dal, ragi, potato","Kapha, Pitta, Vata",,"Sweet, Bitter",stabilizing,Monsoon
Fresh Wrap,Dinner,"paneer, cauliflower, spinach, millet, moong dal","Kapha, Pitta, Vata",,"Bitter, Astringent",stabilizing,All
Classic Kadhi,Snack,"capsicum, potato, cabbage, ginger, oats","Kapha, Pitta, Vata",,"Pungent, Sour",cooling,All
Spicy Stuffed Paratha,Snack,"beetroot, oats, moong dal, beans, cauliflower","Kapha, Pitta, Vata",,"Salty, Bitter",grounding,Winter
Protein-Rich Poha,Snack,"pumpkin, paneer, sweet potato, moong dal, peas","Pitta, Vata",Kapha,"Sour, Salty",stabilizing,All
Lemon Thali,Dinner,"tomato, pumpkin, wheat, ragi, coconut","Kapha, Pitta, Vata",,"Salty, Pungent",light,All
Fresh Lentil Soup,Breakfast,"cauliflower, sweet potato, spinach, coconut, moong dal","Kapha, Pitta, Vata",,"Pungent, Astringent",stabilizing,All
Light Dal,Breakfast,"beetroot, beans, ghee, capsicum, paneer","Kapha, Vata",Pitta,"Pungent, Sweet",cooling,Monsoon
Cooling Stuffed Paratha,Snack,"pumpkin, masoor dal, ghee, rice, lentils","Pitta, Vata",Kapha,"Astringent, Sweet",light,Summer
Ginger Sambar,Lunch,"beans, carrot, potato, paneer, lentils","Kapha, Vata",Pitta,"Astringent, Pungent",stabilizing,All
Mixed Veg Chutney,Dinner,"ghee, pumpkin, oats, garlic, masoor dal","Kapha, Pitta, Vata",,"Sweet, Salty",energizing,All
Warming Veg Stir Fry,Dinner,"ghee, cabbage, wheat, peas, rice","Kapha, Pitta, Vata",,"Bitter, Pungent",light,All
Warming Khichdi,Snack,"coconut, lentils, ginger, tomato, beans","Pitta, Vata",Kapha,"Bitter, Sweet",cooling,Winter
Garlic Lentil Soup,Dinner,"masoor dal, beans, garlic, cauliflower, coconut","Kapha, Pitta",Vata,"Pungent, Sweet",light,Monsoon
Coconut Lentil Soup,Breakfast,"masoor dal, cauliflower, beetroot, rice, beans",Kapha,"Pitta, Vata","Astringent, Sour",energizing,Monsoon
Ginger Dal,Breakfast,"capsicum, ghee, peas, spinach, tomato",Kapha,"Pitta, Vata","Sweet, Salty",cooling,Monsoon
Green Chutney,Dinner,"toor dal, moong dal, pumpkin, sweet potato, paneer","Kapha, Pitta, Vata",,"Astringent, Pungent",grounding,Monsoon
